DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,FC_1_1_1,H_1_1_1,LE_1_1_1,TS_1,RH_1_1_1,CO2_1_1_1,PPFD_IN_1_1_1,H2O_1_1_1,T_SONIC_1_1_1,VPD_1_1_1,TA_1_1_2,PPFD_OUT_2_1_1,PPFD_IN_2_1_1,PPFD_IN_2_3_1,NETRAD_2_1_1,SW_OUT_2_1_1,SW_IN_2_1_1,LW_OUT_2_1_1,LW_IN_2_1_1,TA_2_2_1,RH_2_2_1,TA_2_3_1,RH_2_3_1,TA_2_4_1,WS_2_1_1,CO2_2_1_1,H2O_2_1_1,WS_2_2_1,USTAR_2_1_1,H_2_1_1,LE_2_1_1,FC_2_1_1,T_SONIC_2_1_1,TA_2_1_1,RH_2_1_1,VPD_2_1_1,PPFD_IN_2_2_1,PA_2_1_1,TA_2_1_2,SC_2_1_1,CO2_3_1_1,CO2_3_2_1,CO2_3_3_1,CO2_3_4_1,CO2_3_5_1,CO2_3_6_1,CO2_3_7_1,CO2_3_8_1
1,0.25,0.625,-1.1,2.495,0.5,-8.74,1.2,2.8,93.825,405.4,0,4.6,-0.5,1,-0.205,0,0,0,-7.225,1.175,-0.7,310.45,295.5,-0.9625,94.25,-1.21,96.55,1.2,3.5,428.6,4.8525,3.3425,0.7573,-7.5345,1.791,0.86205,-1.6,-1.1,93.8,1.1525,0,97.32,1.275,0.2,435.7,435.1,435.375,435.6,437.875,437.85,437.25,438.025
1,0.75,0.6225,-1.2,2.48,0.5,-8.91,1.3,3,94.3,405.4,0,4.7,-0.4,1,0.3,0,0,0,-5.25,1.155,-0.6,311.885,296.63,-0.6075,95.35,-1,97,1.16,3.39,430.525,5.09,3.185,0.720225,-7.39,1.345,0.7189,-1.6,-0.625,95.175,1.075925,0,97.225,1.35,0.3,436.7,436.4,436.45,436.65,438,439.5,438.8,441.5
1,1.25,0.615,-1.2,2.4625,0.56,-11.29725,0.975,3,94.5,405.575,0,4.6,-0.4,1.005,0.2,0,0,0,-4.95,1.155,-0.44975,311.105,297,-0.8125,95.425,-1,97.05,1.195,3.5075,430.4,5.07,3.25,0.724425,-6.3995,1.46125,0.72745,-2,-0.9,95.575,1.04715,0,97.275,1.3,0.225,436.1,436.6,436.5,436.65,437.05,438.3,439.3,441.1
1,1.75,0.63,-1.36,2.615,0.5,-10.515,1.675,3,95.875,405.175,0,4.675,-0.4,1.031,0.1,0,0,0,-4.65,1.1,-0.56,311,297,-0.8225,95.925,-1.0125,96.9,1.155,3.41,430.05,5.035,3.17,0.7479,-6.43575,1.4815,0.797525,-1.9,-0.94,95.725,1.032275,0,97.3,1.275,0.225,436.3,435.9,435.85,436.05,436.95,439.5,439.8,440.8
1,2.25,0.615,-1.5,2.5975,0.5,-10.9,1.3,3,96.375,405.6,0,4.6,-0.6,1,0.1,0,0,0,-4.65,1.1,-0.6,311.15,297,-0.775,95.325,-1.015,97,1.1,3.455,429.8,4.98,3.1325,0.7365,-4.706,1.001075,0.6897,-2,-1,95.775,1.0054,0,97.3725,1.125,0.2,436.9,436.4,436,435.7,437.15,438.5,440,443.2
1,2.75,0.62,-1.5,2.55,0.475,-8.3,1.375,3,96.4,405.9,0,4.6,-0.8,1,0.2,0,0,0,-4.85,1.1,-0.5,311.975,296,-0.82775,95.425,-1,97.875,1.095,3.37,429.575,4.94,3.06,0.7117,-7.04675,1.318,0.7389,-2.1,-1,96.075,0.977825,0,97.3825,1.1,0.2,436.1,436,436.25,436.7,437.55,439.5,439.7,440.8
1,3.25,0.64,-1.56,2.55,0.43,-10.3,1.2,3,96.6,405.775,0,4.575,-0.775,1,0.1,0,0,0,-5.0285,1.1,-0.417,311,297.7375,-0.875,95.8,-1.025,98.3,1.0775,3.3475,429.6,4.945,3.1275,0.7384,-6.129,0.8662,0.8061,-2.2,-1,96.1,0.91189,0,97.3475,0.95,0.3,435.8,435.6,435.65,436.05,437.9,440.3,441.6,441
1,3.75,0.6225,-1.5,2.5825,0.5,-10.925,1.5,3,96.55,406.075,0,4.5,-0.7,1,-0.12,0,0,0,-5.25,1.1,-0.4925,310.85,295,-1,95.575,-1.2475,98.575,1,3.3575,429.6,4.89,3.115,0.71875,-5.101,0.75965,0.686,-2.2,-1.125,95.8,0.8984,0,97.335,0.9,0.1,435.8,435.5,435.4,436,436.4,442.5,441,442.8
1,4.25,0.62,-1.5925,2.56,0.4,-10.6,1.5,3,97.375,405.925,0,4.4,-0.875,1,-0.2,0,0,0,-5.3,1.1,-0.5,310.75,295,-1.0675,95.5,-1.4025,98.4,1,3.3975,429.3,4.9325,3.15,0.7,-5.5585,1.214,0.7176,-2.25,-1.2,95.9,0.867,0,97.31,0.775,0.2,435.9,435.8,435.55,435.55,437,440.2,442.1,443.6
1,4.75,0.628625,-1.6,2.58,0.4,-8.66,0.5166275,3,97.25,405.675,0,4.485,-1,1,-0.04,0,0,0,-4.4,1.1,-0.3775,310,296.75,-1.0925,95.275,-1.265,98.45,0.9475,3.33,429.6,4.94,3.12,0.700425,-7.587,0.6473,0.701925,-2.3,-1.2,96.725,0.8440875,0,97.305,0.825,0.2,436.2,435.4,435.45,435.6,437.8,440.4,439.8,441.4
