DOY2,HR2,CO2,FC,H2O,G_2_1_1,H,LE,PA,RH,TA,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,NETRAD,PPFD_IN,PPFD_OUT,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
1,0.25,446.629,5.84918,10.73495,-1.53825,-8.826995,10.5257,101.062175,89.1,10.08,15.229,10.25,10.81,11.055,11.315,11.67,10.1325,10.73,11.025,11.2425,11.695,10.435,11.0225,11.225,11.4425,11.7975,10.34,10.785,11.02,11.185,11.465,-45.88,0,0,0.22341,0.841788334544066,0.847908315720213,0.232855859918278,2.168465
1,0.75,446.829,5.26565,10.6485,-1.6985,-10.5717,11.1706,101.053425,89.425,9.945,15.441,10.16,10.74,10.9825,11.295,11.67,10.0425,10.5675,10.98,11.225,11.7125,10.44,10.9075,11.1825,11.41,11.815,10.265,10.6775,10.93,11.155,11.48,-47.1125,0,0,0.214357,0.808739760367944,0.797195082774599,0.238117617995813,2.06279
1,1.25,448.282,5.774245,10.54815,-2.112,-11.26285,12.8059,101.049925,89.025,10.095,15.39325,10.14,10.685,10.89,11.26,11.67,9.915,10.4725,10.915,11.2,11.7125,10.355,10.83,11.14,11.365,11.82,10.26,10.6175,10.8275,11.11,11.4875,-45,0,0,0.22285975,0.786215288070981,0.814081184036505,0.238323041759279,2.3883425
1,1.75,447.74,5.0468025,10.473,-2.2455,-8.950355,11.907225,101.054475,88.825,10.085,15.38675,10.08,10.6425,10.8525,11.1975,11.67,9.8725,10.36,10.855,11.135,11.7025,10.215,10.7825,11.1,11.36,11.8275,10.1475,10.57,10.7825,11.08,11.4925,-41.2,0,0,0.21981675,0.852904988109347,0.834428869153881,0.252537111425346,2.40888
1,2.25,448.744,5.5123,10.348575,-2.4765,-10.9533,9.76272,101.0597,88.825,10.27,15.11975,10.01,10.58,10.82,11.1225,11.66,9.77,10.315,10.745,11.0975,11.7,10.1225,10.64,11.055,11.325,11.8275,10.025,10.4525,10.745,11.0175,11.4925,-44.3375,0,0,0.244263,0.845595944240351,0.823723799451385,0.27703573311471,2.35716
1,2.75,448.1235,5.53363,10.31395,-2.63725,-9.5833625,14.1404,101.06435,88.525,10.19,15.1705,9.97,10.4775,10.75,11.0725,11.66,9.7175,10.2525,10.635,11.1025,11.6925,10.025,10.5625,10.9925,11.3,11.83,9.9425,10.345,10.695,10.9825,11.485,-43.435,0,0,0.25428125,0.889469258009606,0.878624984871837,0.255147016443461,2.135775
1,3.25,448.43175,6.71316,10.324,-2.747,-8.12332,12.12465,101.0655,89.725,10.11,15.02625,9.85,10.385,10.6825,11.0425,11.66,9.62,10.215,10.62,11.025,11.685,9.9925,10.53,10.935,11.2575,11.8225,9.8425,10.3025,10.67,10.9425,11.4875,-47.065,0,0,0.23555275,0.797157403817207,0.843289116808747,0.250467521425012,2.2296325
1,3.75,449.7885,5.109295,10.4553,-2.88925,-8.77795,13.85605,101.056225,90.975,10.035,14.8055,9.74,10.325,10.6525,11.015,11.66,9.5525,10.1425,10.5925,10.99,11.6775,9.9225,10.45,10.9025,11.2275,11.815,9.82,10.205,10.655,10.9025,11.4875,-41.94,0,0,0.213053,0.818048854714955,0.82438831324475,0.247154693628665,2.276375
1,4.25,448.94075,5.4808925,10.475,-3.014,-10.602825,11.36525,101.03705,91.4,9.965,14.95,9.73,10.295,10.635,10.995,11.62,9.4375,10.12,10.52,10.9375,11.65,9.87,10.4025,10.815,11.18,11.8225,9.7325,10.16,10.6175,10.8625,11.49,-50.95,0,0,0.235661,0.836872286620031,0.819571567491775,0.265374894666885,2.0549375
1,4.75,449.43525,5.4156025,10.3656,-3.13275,-8.03575,14.8729,101.05,91.425,9.95,15.05375,9.75,10.29,10.6225,10.9625,11.62,9.4425,10.05,10.485,10.8725,11.63,9.82,10.36,10.8075,11.15,11.8225,9.6675,10.1225,10.5775,10.82,11.4975,-47.56,0,0,0.23452175,0.816172093724108,0.792028561959953,0.289352638775952,2.0713825
1,5.25,448.477,5.458205,10.3604,-3.262,-9.743355,15.764175,101.052475,91.575,10.12,15.184,9.75,10.2125,10.58,10.925,11.62,9.4675,10.01,10.44,10.825,11.63,9.7775,10.305,10.74,11.1225,11.8125,9.63,10.1,10.5,10.805,11.49,-44.18,0,0,0.219442,0.817531039166098,0.791310305758746,0.275680975041804,2.26792
1,5.75,451.92725,5.86192,10.3328,-3.355,-9.9490175,18.4018,101.05545,91.725,10.115,15.263,9.65,10.1275,10.52,10.8625,11.61,9.425,9.935,10.4175,10.8125,11.595,9.7,10.235,10.685,11.0925,11.81,9.62,10.0575,10.4225,10.785,11.49,-44.095,0,0,0.24609475,0.840898345293191,0.792340188029883,0.276267282365904,2.1576025
1,6.25,450.493,5.4116075,10.359,-3.528,-9.145375,12.7488,101.065,91.8,9.975,15.256,9.62,10.105,10.49,10.8225,11.6,9.3575,9.81,10.4125,10.7875,11.5775,9.625,10.1425,10.6525,11.0725,11.7925,9.555,10.045,10.4,10.7475,11.4775,-48.0775,0,0,0.236863,0.83330966633059,0.785993002513381,0.26153393661244,2.17417
1,6.75,446.364,5.06403,10.456,-3.63,-7.95712,19.0298,101.07845,92.1,9.95,15.073,9.55,10.0725,10.47,10.785,11.6,9.3275,9.745,10.3925,10.7575,11.56,9.56,10.07,10.61,11.04,11.7825,9.5175,10.0125,10.395,10.7325,11.4725,-41.09,0.259502999854678,0,0.249047,0.891617070271762,0.803834560093058,0.277308492477241,2.34009
1,7.25,442.86425,2.997805,10.56905,-3.71525,-7.29593,41.709125,101.0979,92.125,9.815,15.16675,9.55,10.0525,10.44,10.77,11.59,9.3225,9.71,10.3425,10.7425,11.5625,9.4875,9.96,10.57,11.005,11.765,9.5075,9.9575,10.375,10.7225,11.4725,-36.64,7.52558699578567,0.519005999709357,0.25724575,0.889780830274059,0.816337225453042,0.312169547789187,2.3250475
1,7.75,443.4985,0.694129,10.633375,-3.79625,8.44606,49.903625,101.101125,91.9,10.145,15.476,9.55,10.02,10.39,10.7525,11.59,9.305,9.7075,10.2825,10.7125,11.56,9.485,9.9025,10.53,10.975,11.765,9.5,9.915,10.3625,10.7025,11.4825,-22.05,49.3055699723889,3.37353899811082,0.286952,0.91861309425601,0.849552753629679,0.328216884795833,2.70467
1,8.25,441.14225,-0.35902975,10.695825,-3.82625,28.7278,76.313525,101.1355,91.25,10.77,16.0605,9.58,9.9925,10.31,10.695,11.58,9.3125,9.69,10.18,10.64,11.5425,9.4975,9.82,10.4775,10.93,11.76,9.545,9.8625,10.3225,10.6925,11.4725,18.38,192.940480391954,14.5970437418257,0.319864,0.938477978570648,0.925124631746651,0.367685386546398,2.79263
1,8.75,437.60275,-1.43916,10.93295,-3.85375,49.0099,91.5225,101.1599,87.65,11.4575,16.4095,9.51,9.96,10.225,10.635,11.57,9.3125,9.625,10.065,10.57,11.5425,9.465,9.7225,10.3975,10.9,11.7425,9.57,9.82,10.2825,10.645,11.4525,91.2,406.187070522536,31.4647387323798,0.304211,1.02291984043044,1.01300809600738,0.40690892928055,2.886735
1,9.25,438.51125,-2.15137,11.147575,-3.89525,62.9123,106.408,101.17295,85.55,12.13,16.583,9.78,9.93,10.195,10.6025,11.58,9.5825,9.655,10.04,10.5425,11.545,9.4625,9.7025,10.365,10.87,11.7025,9.5325,9.815,10.2225,10.61,11.44,165.525,568.052066681891,43.401876725695,0.3110085,0.979885641962017,1.01346965275626,0.398907447260223,2.942395
1,9.75,439.813,-2.96727,11.111,-3.80675,69.46985,125.88225,101.190425,83.625,12.4425,16.78575,9.97,9.9625,10.18,10.5875,11.57,9.84,9.7725,10.09,10.535,11.535,9.5975,9.735,10.31,10.7925,11.6525,9.6325,9.82,10.1725,10.6,11.4075,228.075,694.949033610829,52.224978720754,0.31682275,0.986908033679803,1.03192458066,0.419776805022172,2.9203075
1,10.25,433.38225,-3.89461,11.274025,-3.67275,86.8359,134.628,101.205175,81,12.975,17.097,10.52,10.0325,10.19,10.5725,11.57,10.175,9.9075,10.12,10.54,11.5275,9.735,9.7525,10.33,10.7725,11.6625,9.765,9.83,10.17,10.6025,11.4,301.1,815.163798293508,59.4261869667213,0.333538,1.04519854573186,1.09793897826792,0.401524594514458,3.24162
1,10.75,427.627,-4.006125,11.3821,-3.42225,93.3449,142.966,101.199225,78.5375,13.44,17.354,10.5375,10.28,10.25,10.59,11.5825,10.59,10.13,10.155,10.57,11.51,10.095,9.875,10.365,10.78,11.665,10.085,9.89,10.19,10.605,11.41,351.075,905.016711993191,66.0435134630157,0.32183,1.07969903213812,1.10197549882019,0.417498502991328,3.16457
1,11.25,432.28875,-5.36663,11.5065,-3.1925,96.6815,139.371,101.192575,78.105,13.91,17.5525,10.96,10.54,10.3075,10.625,11.56,10.9325,10.3225,10.24,10.585,11.505,10.2025,10.0025,10.3925,10.7625,11.65,10.4625,10.0675,10.2375,10.6075,11.3975,394.25,990.198571695489,71.1038219601819,0.33528325,1.08252352782094,1.09099409579949,0.422703964400622,3.2209825
1,11.75,429.119,-4.74867,11.3352,-2.5455,95.382525,155.3465,101.17355,77.315,14.3275,17.868,11.54,10.7525,10.33,10.68,11.54,11.39,10.58,10.3875,10.6325,11.505,10.6575,10.235,10.43,10.76,11.65,10.885,10.26,10.305,10.615,11.395,425.075,1034.63846042061,74.6719882081837,0.335674,1.02144015977442,1.16820374935197,0.413407788992902,3.31905
1,12.25,429.697,-3.3311,11.3207,-2.05475,101.63825,153.0185,101.141275,76.0075,14.8075,18.259,12.22,10.9925,10.4125,10.7175,11.535,11.8125,10.87,10.49,10.68,11.495,10.93,10.3275,10.52,10.8,11.6475,11.4125,10.43,10.375,10.63,11.4025,434.775,1058.12348190745,77.4616454566215,0.330539,1.05937245574916,1.14100832599942,0.42117929673715,3.29508
1,12.75,428.455,-3.14352,11.4542,-1.338,96.2943,141.083,101.0959,74.2025,15.215,18.576,12.5375,11.125,10.53,10.8075,11.5425,12.2125,11.11,10.675,10.6975,11.5,11.2525,10.5675,10.67,10.8375,11.6475,11.91,10.6225,10.5125,10.6525,11.3975,431.7,1061.4321451556,77.5265212065851,0.313949,1.02146952964834,1.13861319156244,0.401172032923533,3.28891
1,13.25,428.01975,-2.08048,11.3395,-0.68025,79.61995,139.553,101.038775,72.1375,15.6775,18.566,12.69,11.2475,10.55,10.89,11.52,12.485,11.335,10.8375,10.78,11.49,11.5475,10.8325,10.845,10.8525,11.6425,12.4325,10.8475,10.5675,10.675,11.385,414.45,1010.37492993419,72.9203429591646,0.312912,1.01115590757943,1.09646955557189,0.39180938488149,3.1262825
