DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,418.502,2.278,420.673,2.1415,2014.019,418.678,2.45,419.586,2.399,2019.04225,418.853,2.474,418.45,3.004,2015.7165,418.94975,2.421,421.18225,2.5975,2012.595,419.329,2.36,421.2805,2.191,2019.255,423.959,2.321,423.156,2.3825,2006.445,2.0205,-8.76825,0.07425,420.22225,1.801,0.294,-0.351,0.3145,0.255,-1.9885,0.32875,-35.116,-6.81075,0.61125,1.4225,1.055,0.48,0.36,0.16,-8.2895,-8.2995,-8.0055,-8.2525,-8.1955,-7.2055,-10.484,96.737,61.19,0.649,-6.89,-7.1,-7.86,-6.7,-6.5,0,-3.75,0.5,-1.33,-0.33,206.8,279.7,-82.1475,261.7,282.7,-0.28,-0.08,-0.09,-0.02,-0.36,-0.3,-0.17,0.02,-0.09,-0.085,-0.548,0.06,0.891,1.541,2.29,2.326,2.751,3.54025,-0.698,-0.135,0.975,1.605,2.40725,0.579,1.254,2.05125,2.505,2.11025,3.4665,-0.2265,0.431,2.013,2.471,2.7245,2.01,3.913,-0.454,-0.0115,1.305,2.175,2.4735,3.269,3.484,4.161,-4.642,-5.918,-5.49825
1,0.75,419.5425,2.264,420.688,1.9455,2014.0165,419.12175,2.415,419.53,2.145,2022.6205,419.244,2.42025,417.8005,2.15,2020.412,419.263,2.149,421.255,2.995,2014,420.436,2.35075,421.38,2.607,2017.3045,422.70675,2.4235,421.167,1.976,2005.681,2.07375,-8.9505,0.06825,419.991,1.736,0.25025,-0.299,0.283,-0.415,-2.2515,0.30275,-37.40325,-6.99925,0.5955,1.3875,1.055,0.49,0.35,0.14,-8.54175,-8.674,-8.2855,-8.50125,-8.619,-7.56925,-10.7045,96.73775,61.68,0.6435,-7.055,-7.325,-8.1025,-6.9275,-6.735,0,-3.76,0.5,-1.3325,-0.4,208.125,278.55,-81.41,261.85,281.475,-0.28,-0.08,-0.105,-0.02,-0.35,-0.3,-0.17,0.02,-0.09,-0.085,-0.575,0.05725,0.881,1.53275,2.279,2.3225,2.71425,3.541,-0.6975,-0.14975,0.9595,1.633,2.4065,0.573,1.2235,2.0425,2.5015,2.11025,3.491,-0.26675,0.4305,2.00675,2.471,2.7,2.01,3.90625,-0.46475,-0.024,1.2905,2.163,2.469,3.24075,3.47875,4.15875,-4.635,-5.93225,-5.4925
1,1.25,418.885,2.365,420.8745,2.1005,2013.803,418.7315,2.43225,419.667,2.788,2023.588,419,2.476,418.514,2.9155,2022.292,419.069,2.3285,419.1405,2.5655,2011.304,419.4985,2.37175,421.5385,2.4095,2021.401,425.055,2.364,423.15025,2.51,2011.1525,2.07525,-9.202,0.07475,420.35675,1.87775,0.29725,-0.45375,0.276,-0.363,-1.681,0.309,-35.494,-7.592,0.56675,1.45,1.095,0.5125,0.36,0.13,-8.7195,-8.8115,-8.6355,-8.618,-8.70275,-7.7245,-10.734,96.755,62.82,0.62075,-7.49,-7.72,-8.28,-7.14,-7.13,0,-3.575,0.5,-1.34,-0.41,206.6,277.7,-80.17,261.2,281.3,-0.28,-0.08,-0.1,-0.02,-0.36,-0.3,-0.18,0.02,-0.09,-0.08,-0.63,0.044,0.8775,1.537,2.28025,2.3225,2.717,3.541,-0.6805,-0.158,0.96575,1.5505,2.399,0.57725,1.194,2.0295,2.4865,2.1095,3.49,-0.25925,0.43,2.004,2.4695,2.71375,2.01225,3.912,-0.464,-0.022,1.294,2.146,2.4695,3.24,3.47225,4.159,-4.4645,-5.85175,-5.5135
1,1.75,418.411,2.40575,420.407,2.049,2015.03125,418.088,2.5845,419.456,2.13825,2025.68275,418.1305,2.57375,418.62175,2.0245,2020.4105,418.3255,2.418,418.83675,2.745,2012.15475,418.928,2.54725,421.42925,2.72375,2018.535,422.68725,2.389,421.792,2.18,2012.11475,2.049,-9.317,0.073,420.4335,1.87,0.282,-0.5245,0.2345,-0.529,-1.57125,0.301,-36.26725,-7.493,0.583,1.355,0.97,0.45,0.34,0.14,-8.7025,-8.9525,-8.796,-8.81575,-8.918,-8.02925,-11.157,96.759,63.5225,0.6,-7.4,-7.58,-8.22,-7.22,-7.13,0,-3.535,0.5,-1.35,-0.39,205,276.8,-78.245,260.7,281.1,-0.28,-0.08,-0.09,-0.01,-0.36,-0.3,-0.18,0.02,-0.09,-0.0875,-0.66,0.031,0.8755,1.535,2.2745,2.325,2.696,3.53625,-0.6755,-0.169,0.9645,1.588,2.3995,0.5895,1.192,2.04,2.491,2.10975,3.4695,-0.2545,0.4155,2.004,2.469,2.70975,2.01225,3.912,-0.502,-0.032,1.297,2.141,2.4695,3.244,3.47,4.158,-4.558,-5.86025,-5.482
1,2.25,418.156,2.375,420.433,1.984,2014.933,418.09875,2.45325,419.668,2.19375,2024.2,418.47275,2.4755,417.368,2.5135,2022.153,418.517,2.387,418.364,2.8275,2015.0855,418.763,2.5565,421.7455,2.74325,2023.295,423.485,2.4185,423.7475,2.405,2007.311,2.159,-9.4645,0.073,420.215,1.86075,0.31475,-0.40525,0.135,-0.503,-0.98625,0.29475,-36.722,-7.1715,0.58925,1.46,1.03,0.445,0.34,0.14,-8.845,-8.9675,-8.8775,-9.1335,-9.1155,-8.24,-11.318,96.785,64.6025,0.57,-7.64,-7.81,-8.28,-7.41,-7.29,0,-3.58,0.5,-1.32,-0.42,205.4,275.9,-80.6425,260.8,280,-0.28,-0.08,-0.11,-0.02,-0.36,-0.3,-0.26,0.01,-0.09,-0.08,-0.692,0.017,0.874,1.533,2.27525,2.324,2.694,3.537,-0.6815,-0.178,0.968,1.6235,2.40775,0.5895,1.189,2.04225,2.477,2.1095,3.47075,-0.264,0.421,2.003,2.4715,2.711,2.0115,3.9005,-0.513,-0.0455,1.281,2.141,2.4695,3.2395,3.467,4.157,-4.463,-5.821,-5.535
1,2.75,417.962,2.308,420.54375,1.953,2016.084,417.9375,2.551,419.997,2.1725,2026.0075,417.9085,2.519,418.952,1.91375,2024.955,417.8515,2.353,418.41675,2.8135,2017.672,418.1315,2.666,421.36475,2.83775,2020.9845,420.2375,2.343,421.22875,2.24925,2008.8895,2.0065,-9.7185,0.078,419.93775,1.825,0.33275,-0.3525,0.38325,-0.597,-1.8085,0.2815,-35.099,-7.925,0.563,1.405,1.01,0.46,0.34,0.1375,-9.287,-9.25775,-8.754,-9.293,-9.309,-8.47,-10.9,96.758,65.0225,0.536,-7.78,-8.1,-8.55,-7.57,-7.34,0,-3.61,0.5,-1.34,-0.41,204.2,276.375,-80.0675,260.7,279.8,-0.28,-0.08,-0.1,-0.02,-0.36,-0.3,-0.27,0.01,-0.09,-0.08,-0.724,0.003,0.87,1.531,2.2855,2.324,2.737,3.5375,-0.6945,-0.193,0.966,1.6205,2.40825,0.588,1.247,2.04125,2.492,2.1095,3.47125,-0.279,0.416,2.002,2.4685,2.701,2.01,3.91,-0.52,-0.0685,1.285,2.14,2.4725,3.244,3.464,4.151,-4.5575,-5.8685,-5.69475
1,3.25,418.2865,2.318,420.50725,2.01475,2018.37,417.81225,2.41075,419.18875,2.53425,2024.4635,418.033,2.4925,417.509,3.029,2023.611,418.421,2.3135,419.8625,3.005,2021.56625,418.9665,2.3855,423.7885,2.635,2026.214,420.6235,2.304,421.8875,2.262,2005.625,2.0805,-10.1835,0.08,419.837,1.84575,0.27775,-0.25075,0.48225,-0.4745,-1.266,0.2985,-38.057,-5.972,0.5805,1.4075,0.92,0.4,0.34,0.14,-9.39475,-9.55375,-9.0025,-9.2975,-9.53775,-8.9515,-11.002,96.713,65.33,0.52,-7.93,-8.21,-8.59,-7.75,-7.11,0,-3.595,0.5,-1.33,-0.4,204.9,275.925,-80.445,261.7,279.7,-0.28,-0.08,-0.1,-0.02,-0.36,-0.3,-0.27,0.02,-0.09,-0.08,-0.753,-0.00275,0.867,1.529,2.28925,2.3315,2.72775,3.539,-0.718,-0.207,0.964,1.617,2.41,0.5855,1.241,2.0405,2.493,2.1095,3.47175,-0.2905,0.4025,2.001,2.463,2.69725,2.01,3.908,-0.527,-0.0815,1.287,2.138,2.4725,3.244,3.462,4.14375,-4.572,-5.835,-5.595
1,3.75,417.735,2.486,420.82825,1.852,2018.236,417.641,2.53525,419.94725,1.986,2026.721,417.512,2.571,418.996,1.79375,2024.855,417.954,2.47875,418.564,2.50075,2017.852,418.17475,2.648,421.41675,3.1245,2023.7485,419.93275,2.42,421.533,2.313,2009.516,1.9725,-10.4465,0.071,419.654,1.8945,0.3485,-0.3965,0.2155,-0.48325,-1.3745,0.305,-38.049,-6.1995,0.5895,1.3575,0.91,0.405,0.33,0.14,-9.62575,-9.3995,-8.8975,-9.40175,-9.6945,-9.07975,-11.135,96.678,65.98,0.49,-8.02,-8.35,-8.57,-7.73,-7.27,0,-3.59,0.5,-1.33,-0.38,206.1,275.7,-80.08,260.4,279.5,-0.28,-0.08,-0.11,-0.01,-0.35,-0.3,-0.27,0.01,-0.09,-0.08,-0.759,-0.00075,0.863,1.528,2.269,2.329,2.731,3.53925,-0.73,-0.2285,0.962,1.6205,2.411,0.58,1.25,2.038,2.494,2.10975,3.47225,-0.293,0.394,2,2.451,2.69325,2.00575,3.9125,-0.533,-0.089,1.291,2.1395,2.4715,3.244,3.46,4.149,-4.5865,-5.88225,-5.61325
1,4.25,417.8375,2.43725,420.545,1.96,2019.20275,417.894,2.66,419.3145,2.342,2024.5795,417.754,2.57325,416.85825,3.01325,2023.958,418.082,2.48,420.13725,2.965,2016.7375,418.3175,2.65825,423.334,2.864,2025.798,420.72575,2.478,422.138,2.23,2008.6985,1.905,-10.644,0.076,419.4385,1.923,0.32,-0.335,0.296,-1.0135,-1.8545,0.29,-34.12425,-6.3835,0.572,1.325,0.905,0.38,0.34,0.15,-9.886,-9.556,-8.985,-9.5215,-9.87,-9.005,-11.411,96.671,66.15,0.494,-8.09,-8.39,-8.59,-7.88,-7.41,0,-3.49,0.5,-1.29,-0.33,206.6,275.2,-78.8225,260.8,279.6,-0.28,-0.08,-0.12,-0.02,-0.36,-0.3,-0.27,0.01,-0.09,-0.08,-0.768,0.007,0.85975,1.527,2.26475,2.32675,2.698,3.53825,-0.75,-0.2635,0.96,1.6245,2.412,0.569,1.251,2.0345,2.505,2.10975,3.485,-0.307,0.3915,1.999,2.441,2.689,2.0015,3.919,-0.539,-0.094,1.293,2.13975,2.4725,3.243,3.458,4.148,-4.51425,-5.9325,-5.57
1,4.75,417.762,2.358,420.542,2.00625,2017.1935,417.738,2.566,418.87475,2.873,2026.7505,418.171,2.35,417.49375,2.9625,2022.92325,418.109,2.30475,420.766,3.058,2019.708,417.96275,2.53225,420.4625,3.0025,2021.42575,420.98,2.486,420.567,2.239,2012.7305,2.002,-10.753,0.076,419.43225,1.9205,0.288,-0.219,0.3685,-1.04225,-1.7785,0.286,-36.043,-5.461,0.559,1.37,0.99,0.39,0.33,0.14,-9.894,-9.6065,-9.06375,-9.59375,-9.96725,-9.0685,-11.893,96.671,66.035,0.48625,-7.84,-8.375,-8.55,-7.39,-7.3475,0,-3.62,0.5,-1.3,-0.33,205.575,275,-79.975,259.125,279.85,-0.28,-0.08,-0.1125,-0.02,-0.36,-0.3,-0.27,0.02,-0.09,-0.08,-0.763,-0.009,0.857,1.51825,2.263,2.323,2.687,3.53725,-0.751,-0.2815,0.953,1.628,2.413,0.557,1.248,2.04625,2.505,2.109,3.47425,-0.3365,0.382,1.997,2.4545,2.686,2.0015,3.9165,-0.572,-0.122,1.296,2.14,2.4725,3.243,3.455,4.147,-4.5995,-5.934,-5.6335
