DOY2,HR2,CO2,FC,G_1_1_1,G_2_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,TA_1_1_3,TA_1_1_2,TS_1_5_1,G,TA,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1
1,0.25,425.1365,0.738536,-0.0905,0.02525,0.6307014385,5.670655939,13.797119875,302.725,313.55,-6.0595,99.821019395,-0.002,0.057,91.2949153275,0.039343863,0.17313920325,0.097068155,-0.23975,1.297,-0.01802922,-0.14725,0.8,1.433,3.883,4.6665,4.87925,0.8,2.018,3.823,5.15,4.49175,-0.8285,2.1935072325,0.3758568395,1.02501872414655,1.1551812925,0.738385052495854,5.32755526675,0.421168944122697,8.69,-0.05378679,4.05375,-4.17163166675,0.740528675,0.297,1.9,2.48,2.975,3.637,4.568,4.864,5.653,6.62125,0.85025,1.9115,2.7245,3.0545,3.726,4.654,4.78975,5.41,6.369
1,0.75,425.37959725,0.762734971,-0.1215,0.0245,0.8298264765,5.6286663375,13.6863918,303.1,313.4,-5.35675,99.795963235,-0.00125,0.05175,90.62348299,0.05219775675,0.06201693525,0.092370909,-0.19775,1.314,-0.020026969,-0.1555,0.797,1.468,3.9,4.6625,4.87925,0.87625,1.985,3.8375,5.117,4.4915,-0.71375,2.0418312445,0.3679818605,1.04944878756592,1.0960393625,0.757973315659872,5.193756293,0.424141024516212,8.49,-0.0485498,4.0375,-4.11875,0.7995806,0.393,1.9195,2.49475,2.99,3.70625,4.628,4.864,5.653,6.631,0.903,1.89175,2.8965,3.12775,3.711,4.63825,4.84375,5.41,6.4155
1,1.25,426.16925,0.7851270785,-0.1705,-0.91175,1.6424151015,5.618472214,14.40283047,303.025,313.3,-4.89,99.801953115,-0.002,0.044,90.7,0.03919488,0.16509330825,0.08456749025,-0.1825,1.305,-0.022060437,-0.27425,0.778,1.4775,3.879,4.6915,4.88325,0.858,1.95025,3.827,5.117,4.4835,-0.63725,1.9426984535,0.3570802965,0.987866828101716,1.072602753,0.717105940150593,5.09819170825,0.409539174391383,8.33,-0.0926238575,4.029,-4.102,0.8452638,0.35975,1.86075,2.48025,2.98525,3.68625,4.609,4.879,5.653,6.631,0.9125,1.81875,2.91575,3.1135,3.70625,4.624,4.825,5.41,6.4155
1,1.75,425.697713975,0.694668789,-0.297,-0.94125,1.4097265105,5.637170133,13.116784905,303.25,313.3,-5.20775,99.8008446425,-0.003,0.047,91.02592617,0.05836477575,0.12416289225,0.06775039175,-0.149,1.336,-0.01988255575,-0.4655,0.739,1.4775,3.879,4.688,4.875,0.82175,1.91275,3.8455,5.133,4.4705,-0.8475,1.9012003455,0.357251863,0.90547716995676,1.0669049695,0.712215427045313,5.035991773,0.399386294577552,9.09,-0.140849,4.004,-4.148625,0.795223,0.28275,1.79325,2.456,2.96525,3.642,4.628,4.89,5.63825,6.631,0.838,1.76475,2.93125,3.10875,3.692,4.609,4.80975,5.41,6.4105
1,2.25,426.4625,0.6896558675,-0.46975,-1.01125,1.06762374575,5.5543012865,13.99515138,302.7,313.3,-4.409,99.8002997025,-0.00425,0.05,91.57083558,0.049334421,0.17219494675,0.080698638,-0.12575,1.337,-0.01747447375,-0.5985,0.7,1.49725,3.867,4.66475,4.86225,0.80825,1.9,3.84625,5.129,4.48325,-0.921,1.830496239,0.3550783025,0.958620910320651,1.05570327,0.713722857337669,4.9457847165,0.402635280211252,8.26,-0.265247625,4.016,-4.132625,0.7855091,0.26375,1.744,2.436,2.946,3.66625,4.609,4.88975,5.638,6.631,0.83825,1.72575,2.9505,3.0935,3.68625,4.60825,4.809,5.41475,6.39525
1,2.75,426.819,0.6294783765,-0.728,-2.23825,1.816535564,5.577064516,13.80436944,302.8,313,-4.45075,99.82290144,-0.00225,0.04,91.84758846,0.0371105535,0.1745168655,0.10505429175,-0.1085,1.275,-0.01697414075,-0.94775,0.7,1.468,3.879,4.66875,4.87925,0.80425,1.87925,3.836,5.16275,4.47025,-1.15425,1.5568112705,0.35258040925,0.929032111036893,1.015265083,0.714671109532467,4.879137267,0.420627480497707,8.08,-0.753257375,4.03375,-4.14251722225,0.85726735,0.26375,1.686,2.412,2.946,3.632,4.58875,4.88975,5.64825,6.66175,0.723,1.74875,2.97475,3.07925,3.68625,4.594,4.79475,5.415,6.3995
1,3.25,426.9807566,0.6266725435,-0.72625,-2.61902,1.607243808,5.4379885355,15.01320461,303.425,312.8,-4.5545,99.8151,-5e-04,0.039,91.88536626,0.038813546,0.270711329,0.130041257,-0.128,1.259,-0.01557898425,-1.11875,0.71275,1.43375,3.867,4.68725,4.87925,0.8,1.87575,3.84625,5.14575,4.47075,-1.333,1.4611915435,0.352075487,0.929431693478719,0.987298715,0.724199813425866,4.9737820405,0.407667453729354,8.09,-0.900497325,4.02475,-4.25152129625,0.88397685,0.259,1.67625,2.38225,2.92625,3.62725,4.603,4.86975,5.64325,6.6475,0.665,1.793,2.99025,3.06425,3.672,4.574,4.794,5.415,6.39475
1,3.75,426.59025,0.72582201375,-0.71325,-3.2588825,2.612215025,5.44318011275,14.5342737925,303,312.8,-4.3205,99.80866439,-0.002,0.043,92.40134224,0.043204603,0.349124817,0.1607184195,-0.1245,1.249,-0.01731158825,-1.1505,0.7,1.45225,3.867,4.673,4.87925,0.8,1.8565,3.825,5.167,4.483,-1.39125,1.39666895475,0.349061347,0.971706896161133,1.006197069,0.735940941443274,5.130271371,0.410259058449067,8.72,-0.83194745,4.04225,-4.22299888875,0.8536374,0.24,1.6525,2.363,2.907,3.627,4.588,4.86975,5.618,6.63175,0.65725,1.77375,3.0005,3.0445,3.6665,4.57325,4.789,5.415,6.3945
1,4.25,426.9055,0.682210178,-0.6975,-3.4281075,2.3348640815,5.4325409365,15.44686884,303.425,312.7,-4.183,99.8023511925,-0.00525,0.043,92.27069267,0.068095249,0.37769503675,0.150089086,-0.124,1.285,-0.01720120025,-1.246,0.6905,1.43375,3.86125,4.658,4.875,0.8,1.8375,3.824,5.133,4.4835,-1.322,1.47671114075,0.362487404,0.959710528165403,1.028651203,0.7469242733605,5.06324121,0.410155429415639,8.42,-1.0364545,4.01625,-4.0132952775,0.8690858,0.201,1.58425,2.31925,2.887,3.612,4.603,4.85475,5.613,6.6625,0.63825,1.75,3.00025,3.0295,3.652,4.559,4.7795,5.42925,6.3995
1,4.75,426.3915,0.676332929,-0.68075,-3.47485,1.4232575,5.3922655525,15.33455432,303.95,312.5,-3.77,99.818435695,-0.0075,0.05025,92.22294449,0.05723026175,0.190481104,0.1011416055,-0.1265,1.318,-0.0126974375,-1.234,0.6725,1.429,3.88325,4.668,4.8665,0.8,1.787,3.821,5.133,4.4915,-1.25525,1.352050187,0.3582946285,0.965077013507212,1.019998401,0.75304776873715,5.1729475,0.424404992901827,8.09,-0.91293255,4.034,-4.26456388875,0.8412151,0.182,1.54525,2.2945,2.88225,3.62625,4.588,4.82475,5.618,6.6475,0.61925,1.72525,2.98075,3.02475,3.65125,4.539,4.774,5.43,6.39975
