DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,0.25,0.371,0.3095,1.02,-12.9835,0.294,0.001,405.331,3.154,-18.9,0,0,-3.638,85.1,1.871,99.103,-0.4695,-0.1425,0.0445,0.343,1.9185,3.626,-0.159,-0.013,0.104,0.687,1.859,3.8405,-2.597,-2.802,0.421,0.7452
1,0.75,0.556,0.456,1.62,-13.6805,0.293,0.005,405.4715,2.854,-18.93,0,0,-3.603,85.1,1.913,99.1,-0.4825,-0.14,0.0425,0.335,1.908,3.631,-0.183,-0.015,0.1075,0.7005,1.964,3.818,-2.7,-2.8085,0.4158,0.7545
1,1.25,0.435,0.414,1.2725,-13.801,0.31,0.005,405.498,2.78,-18.21,0,0,-3.561,85,1.893,99.134,-0.4775,-0.1445,0.038,0.342,1.9265,3.627,-0.16,-0.01,0.109,0.706,1.943,3.826,-2.713,-2.8095,0.4333,0.7778
1,1.75,0.4735,0.452,1.176,-13.2405,0.29,0.008,404.853,2.825,-18.69,0,0,-3.575,85,1.865,99.1795,-0.499,-0.161,0.035,0.353,1.923,3.632,-0.1605,-0.0115,0.107,0.702,1.9485,3.8255,-2.718,-2.808,0.4127,0.7333
1,2.25,0.402,0.379,1.145,-11.977,0.285,0.008,405.707,2.88,-18.17,0,0,-3.643,85.9,1.89,99.2,-0.477,-0.144,0.0345,0.3425,1.922,3.607,-0.169,-0.013,0.126,0.681,1.9615,3.8025,-2.879,-2.8095,0.3968,0.7545
1,2.75,0.4595,0.42,0.998,-11.657,0.287,0.002,405.616,2.866,-18.11,0,0,-3.755,86,1.847,99.2,-0.488,-0.149,0.038,0.3425,1.9225,3.616,-0.1795,-0.012,0.091,0.702,1.918,3.8355,-2.892,-2.854,0.4217,0.7766
1,3.25,0.4585,0.423,1.023,-12.1685,0.303,0.009,405.587,2.9,-20.35,0,0,-3.742,85.8,1.857,99.1985,-0.4675,-0.162,0.016,0.357,1.9295,3.61,-0.1795,-0.0245,0.092,0.67,1.9115,3.8245,-2.892,-2.939,0.4199,0.7633
1,3.75,0.429,0.435,1.055,-12.274,0.297,0.007,406.15,2.799,-19.64,0,0,-3.888,85.7,1.927,99.183,-0.472,-0.17,0.035,0.356,1.919,3.612,-0.171,-0.034,0.1065,0.685,1.982,3.798,-2.895,-2.9835,0.4347,0.72745
1,4.25,0.424,0.4415,0.98,-11.998,0.308,0.015,406.257,2.878,-19.93,0,0,-3.838,85.85,1.93,99.1965,-0.4745,-0.167,0.035,0.3495,1.914,3.587,-0.1815,-0.03,0.095,0.711,1.9595,3.814,-2.895,-2.9785,0.43405,0.76475
1,4.75,0.446,0.441,0.983,-13.6575,0.2775,0.012,406.431,2.827,-19.72,0,0,-4.014,86.4,1.901,99.193,-0.486,-0.166,0.0295,0.337,1.92,3.5875,-0.17,-0.026,0.104,0.678,1.938,3.835,-2.895,-2.995,0.4044,0.7111
1,5.25,0.432,0.434,0.879,-12.918,0.283,0.006,406.463,2.774,-20.74,0,0,-3.95,86.4,1.856,99.2,-0.477,-0.169,0.04,0.338,1.936,3.607,-0.187,-0.029,0.107,0.674,1.947,3.811,-3.05,-2.9915,0.4084,0.7231
1,5.75,0.461,0.468,1.208,-12.273,0.297,0.007,406.282,2.762,-20.53,0,0,-3.979,86.1,1.93,99.2,-0.492,-0.164,0.0335,0.3355,1.933,3.609,-0.185,-0.034,0.1,0.698,1.9365,3.833,-3.07,-3.0135,0.4251,0.7341
1,6.25,0.474,0.455,1.099,-11.511,0.297,0.0015,406.2525,2.744,-20.99,0,0,-4.018,86.3,1.924,99.2,-0.483,-0.17,0.0245,0.368,1.906,3.6175,-0.186,-0.0235,0.09,0.6935,1.9065,3.834,-3.072,-3.0135,0.42495,0.77765
