DOY2,HR2,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.102154750617965,-0.032602720509501,0.155348946061731,-2.15391814332829,-0.429219279946394,0.21627440329144,-35.0169809513636,-1.56234127738257,0.51810411106354,414.162248163544,1.13741992780098,424.173592820342,1.44293705601225,416.645648682686,428.748467212992,3.18203896413925,416.307551977002,424.154206549112,1.44404247288441,419.245603328469,424.377335431908,1.43605444854375,419.122143464552,4.01940369777101,-19.1893121960941,0.101108440740425,2.925,2.6925,1.19,-19.0909,-18.361,-18.7431,-19.4247,-18.5072,94.3387175,76.625,0.2399,-15.205,-8.98,-14.18,0.6,-2.3175,2.175,-0.355,204.325,240.175,222.075,267.7,0.08,-0.075,-0.01,-0.09,-0.1625,-0.01,-0.135,-0.0725,-3.49725,-2.867,-2.24325,-1.7265,-0.689,0.48525,2.011,4.31225,-3.48675,-3.04975,-1.9015,-0.7345,-0.9635,-0.001,1.57325,2.6085,4.392,-3.7445,-3.177,-2.1035,-1.419,-0.595,-0.23975,1.616,2.89525,5.0405,-4.065,-3.4745,-3.097,-1.80825,-1.619,-1.14,0.755,2.073,4.78675,-4.5135,-3.52625,-2.76675,-2.20575,-1.222,-0.69025,0.767,2.2045,4.72975,-3.72125,-5.587,-3.78775,-57.895
1,0.75,0.12371150625577,-0.0227176856120468,0.18103304355744,-2.15169625402695,-0.389493099158951,0.193404906460933,-33.9414767210466,-1.37374189945391,0.512133675663794,414.104205731526,1.16323295341085,424.005970608998,1.47235776954232,418.089291090909,428.51947311437,3.12345756091425,416.743817692584,424.192741235192,1.46416429100513,419.801066033141,424.22658870736,1.41838678289031,419.26164977924,3.89675720590562,-19.1751405558132,0.111790002679454,2.85,2.475,1.22,-19.2208,-18.4875,-19.100375,-19.2544,-18.799625,94.31045,76.93,0.2399,-15.2425,-9.0425,-14.045,0.4,-2.3625,1.975,-0.3525,210.65,239.425,226.3,266.975,0.1,-0.005,-0.01,-0.08,-0.155,-0.0125,-0.1425,-0.1075,-3.53575,-2.882,-2.243,-1.7265,-0.6885,0.4835,2.0095,4.31125,-3.538,-3.029,-1.90325,-0.73275,-0.9645,-0.00025,1.57375,2.60825,4.3915,-3.744,-3.174,-2.111,-1.40725,-0.595,-0.242,1.617,2.8945,5.0395,-4.09475,-3.494,-3.105,-1.81275,-1.6135,-1.141,0.755,2.0725,4.78575,-4.5325,-3.5235,-2.7675,-2.209,-1.225,-0.69325,0.76475,2.20425,4.73075,-3.36225,-5.80175,-3.763,-57.395
1,1.25,0.135217249252083,-0.0491722665747041,0.182335305363947,-1.89880128009421,-0.12039471397631,0.202984241894306,-32.7974467262667,-1.23272112321576,0.513716295981329,414.075947172132,1.19900775775396,424.051922761319,1.43978739196456,418.37608689894,428.740846498103,3.15437146937423,416.710599084322,424.187504900494,1.43715909066421,419.359949354321,424.122302153537,1.45026372562755,419.737275302326,4.09115321274304,-18.9297169690426,0.095227485818924,3.13,2.5725,1.155,-19.11425,-18.87875,-19.160125,-19.285775,-18.8067,94.29698,76.9325,0.2328,-15.1175,-9.0925,-14.045,0.375,-2.31,1.725,-0.3525,214.4,241.2,229.75,267.4,0.09,-0.015,-0.015,-0.09,-0.1625,-0.02,-0.145,-0.2225,-3.571,-2.89975,-2.24225,-1.7285,-0.687,0.48125,2.00825,4.31025,-3.6085,-3.01025,-1.934,-0.732,-0.966,-0.002,1.572,2.60925,4.3905,-3.74725,-3.219,-2.118,-1.405,-0.59175,-0.245,1.61725,2.8855,5.03925,-4.082,-3.54425,-3.1145,-1.834,-1.614,-1.11325,0.755,2.07225,4.785,-4.53625,-3.53425,-2.7685,-2.2115,-1.22475,-0.6955,0.76425,2.20425,4.72675,-3.5255,-5.6915,-3.82,-57.76
1,1.75,0.103245122018686,-0.108133815703685,0.216189853708642,-1.89222220826278,-0.039469571383995,0.187113586273798,-30.1570624152745,-1.47662846033329,0.513747557800586,414.007267914692,1.1767860800435,423.895417457577,1.5238494977796,417.398096090719,428.608554318102,3.20227701953461,416.383789081701,423.952356296096,1.5378561924523,419.45791747995,423.933122000259,1.49322560724819,419.427294831689,4.38320367296063,-18.8830682055728,0.0859097212086328,3.26,2.69,1.16,-19.07175,-18.5385,-19.075225,-19.2269,-18.7424,94.29925,76.5175,0.2272,-15.09,-9.2,-13.89,0.35,-2.3,1.575,-0.3625,205.675,241.25,230.925,266.925,0.1,-0.04,0,-0.095,-0.16,-0.01,-0.135,-0.0675,-3.6,-2.91625,-2.2585,-1.73,-0.6895,0.4795,2.00575,4.30925,-3.5955,-3.0395,-1.963,-0.72975,-0.9665,-0.00025,1.571,2.6075,4.3895,-3.7285,-3.21925,-2.12225,-1.403,-0.59275,-0.251,1.6165,2.8845,5.0385,-4.0945,-3.579,-3.125,-1.84525,-1.619,-1.11325,0.75425,2.07175,4.785,-4.53925,-3.54625,-2.76825,-2.209,-1.22675,-0.702,0.76125,2.204,4.71375,-3.969,-5.86,-3.7735,-56.525
1,2.25,0.119346639606714,-0.0517499306689514,0.199903374374961,-1.74310615338011,-0.271656995357505,0.181835436657341,-28.7365112647394,-1.46925343713492,0.520480986187589,414.253648270871,1.13975904641324,424.308429609042,1.48006291331306,418.446565132783,428.533437628119,3.21063178853932,416.450698317144,424.250183073059,1.46437676386754,419.335346337151,424.173860448333,1.42583393472378,420.091009862416,4.11949640534968,-19.1426764148441,0.110435548306121,3.16,2.33,1.14,-19.233925,-18.6195,-19.203225,-19.157625,-18.6317,94.33219,76.71,0.2221,-15.35,-9.03,-13.8575,0.4,-2.27,1.9,-0.38,206.65,241.075,231.475,268.25,0.09,-0.09,-0.015,-0.085,-0.17,-0.0125,-0.1425,-0.1575,-3.63,-2.93375,-2.26,-1.72875,-0.69175,0.4785,2.005,4.30825,-3.5825,-3.09825,-1.98675,-0.728,-0.96375,0.00225,1.57125,2.60675,4.389,-3.70825,-3.2145,-2.1215,-1.40025,-0.59275,-0.26825,1.6165,2.901,5.0375,-4.1005,-3.62875,-3.136,-1.845,-1.624,-1.11225,0.754,2.072,4.78325,-4.52825,-3.57625,-2.76525,-2.21,-1.2295,-0.702,0.7625,2.2015,4.706,-3.6875,-5.6035,-3.4695,-56.2
1,2.75,0.115342688587356,-0.0217923154695683,0.0449239733105152,-2.05710583249168,-0.119624970032478,0.199249458430438,-32.842380745642,-1.60867725027894,0.530882976461873,414.010114199537,1.18102839786633,424.125020790794,1.46654102783828,417.737675942761,428.454948134356,3.12310611033264,416.988372264986,424.072412932392,1.42011181897667,419.575207798013,424.251396796223,1.36009532888167,419.400595836735,4.14074482629684,-19.128415233859,0.104072955202976,3.025,2.5,1.15,-19.241575,-18.433,-19.1915,-19.20385,-18.7625,94.3254,77.0225,0.21985,-15.56,-9,-13.5025,0.5,-2.22,2.1,-0.3725,208.25,241.6,227.275,269.25,0.1,0,-0.045,-0.08,-0.14,-0.0125,-0.1425,-0.145,-3.6605,-2.953,-2.2835,-1.72575,-0.69125,0.47675,2.0035,4.30725,-3.579,-3.10775,-1.9885,-0.7365,-0.96025,0.00275,1.56925,2.6065,4.388,-3.68675,-3.2125,-2.132,-1.3975,-0.59275,-0.271,1.6165,2.8835,5.03675,-4.08425,-3.6145,-3.135,-1.832,-1.629,-1.142,0.75425,2.071,4.783,-4.51625,-3.601,-2.76225,-2.2175,-1.23225,-0.703,0.76475,2.20325,4.7225,-4.04275,-5.7935,-3.87225,-54.59
1,3.25,0.0997069999399371,-0.0339964481087738,0.170495662708133,-2.57550440439864,-0.6261188027409,0.178695122727759,-29.8498155631903,-1.75267129442205,0.520625697428575,414.3249428029,1.17204791694292,423.875194369762,1.4520204919844,419.343964901993,428.282289475674,3.23628830389525,416.869030970034,424.052771217826,1.50235462515512,419.561454384942,423.953893809701,1.32018798013407,419.813297352465,4.40134225604285,-19.5737916946945,0.0946786888337804,3.365,2.57,1.2275,-19.4701,-18.3415,-19.4098,-19.49645,-18.46945,94.314325,78.0075,0.21895,-15.6,-9.33,-13.525,0.475,-2.1725,1.875,-0.375,212.275,241.775,224.3,268.925,0.1,-0.01,-0.025,-0.08,-0.1775,-0.0125,-0.145,-0.0725,-3.672,-2.95625,-2.30175,-1.723,-0.69225,0.47475,2.00175,4.30625,-3.583,-3.10725,-1.98775,-0.735,-0.95575,0.00425,1.57125,2.607,4.388,-3.68625,-3.21225,-2.1275,-1.3965,-0.5935,-0.268,1.6165,2.8825,5.0355,-4.067,-3.6235,-3.1295,-1.8205,-1.62325,-1.141,0.754,2.07025,4.78225,-4.50325,-3.6135,-2.75775,-2.218,-1.23425,-0.698,0.7625,2.20375,4.7215,-3.538,-5.7945,-3.946,-54.155
1,3.75,0.104910617478709,-0.0882970799528285,0.134913709141637,-2.56487704910056,-1.11569013141224,0.192933172065156,-29.0840437833249,-1.75762092123299,0.542123031137986,414.33096046048,1.15078461623261,423.824325038069,1.54066883922585,418.867816543943,428.231547562918,3.17561798699453,416.434322134095,423.850785508491,1.53075684499675,419.298451642027,423.929343948812,1.51700226448513,419.628585806412,4.35349480457955,-19.6884967947306,0.0788415086885492,3.4325,2.76,1.42,-19.445975,-18.59875,-19.171,-19.3626,-18.95485,94.30724,78.64,0.2238,-15.155,-9.45,-13.3325,0.2,-2.2525,1.775,-0.39,208.875,240.825,224.95,269.125,0.09,-0.06,-0.015,-0.075,-0.17,-0.01,-0.135,-0.2625,-3.679,-2.936,-2.309,-1.71975,-0.69325,0.47275,2.0005,4.30525,-3.58775,-3.11,-1.9875,-0.7345,-0.953,0.00725,1.57225,2.606,4.38775,-3.69875,-3.21425,-2.1215,-1.39575,-0.5935,-0.273,1.61725,2.89025,5.03525,-4.08175,-3.632,-3.10975,-1.81,-1.62575,-1.14,0.75475,2.07025,4.78125,-4.49,-3.61825,-2.75475,-2.2155,-1.237,-0.699,0.75975,2.2005,4.72075,-3.058,-5.7755,-3.898,-56.06
1,4.25,0.0966626063250728,-0.0364797642736929,0.193438091939042,-2.22525585486389,-1.03057833480618,0.200451645566437,-28.122756693843,-1.80547572758087,0.544502210110727,414.188687710059,1.08888083847607,423.991062177285,1.71851556104562,418.139384967932,428.161927752241,3.26942337665152,416.506391241109,424.080256209536,1.66521066205991,419.055979590067,424.122943396662,1.62382622278967,419.037805126561,4.2239578573754,-19.8219876849589,0.103174000909145,3.215,2.78,1.27,-19.5267,-18.85475,-19.46205,-19.585925,-19.095925,94.292045,78.7,0.2245,-15.3775,-9.6225,-13.3225,0.275,-2.32,1.875,-0.4225,208.05,240.9,225,268.925,0.1,-0.105,-0.02,-0.085,-0.1775,-0.01,-0.1525,-0.145,-3.68775,-2.94075,-2.31475,-1.71625,-0.694,0.47375,1.999,4.3035,-3.5955,-3.10675,-1.9895,-0.7345,-0.9485,0.009,1.5715,2.60425,4.38775,-3.718,-3.22125,-2.10125,-1.3955,-0.59425,-0.2715,1.6165,2.89,5.03425,-4.09625,-3.62475,-3.1035,-1.81675,-1.613,-1.1065,0.75575,2.07025,4.78025,-4.47675,-3.61,-2.7515,-2.21175,-1.239,-0.699,0.75475,2.201,4.71975,-3.2195,-5.66,-3.848,-53.6875
1,4.75,0.0972959505188609,-0.0198964451128007,0.158905228087811,-2.05390103362708,-1.24182716544388,0.220915293604236,-29.3800411291619,-1.77014692824615,0.573253495927344,414.2189182012,1.01298447867165,423.859913751979,1.82726229543502,418.495978003999,428.285024869379,3.32125252842665,417.195409959596,423.889552917752,1.86027242817246,418.890205474221,423.942451485087,1.76715363890332,418.843747571429,4.59986905456107,-19.7310793739049,0.105326620803086,3.24,2.8,1.3625,-19.6786,-19.07425,-19.63375,-19.759075,-19.14,94.291485,78.44,0.2231,-15.7225,-9.6275,-13.2475,0.475,-2.265,2,-0.3625,208.825,237.825,225.6,268.725,0.09,-0.09,-0.015,-0.08,-0.16,-0.0125,-0.1525,-0.075,-3.672,-2.96625,-2.32075,-1.71375,-0.6935,0.47375,1.99775,4.3025,-3.61625,-3.105,-1.9905,-0.734,-0.94525,0.0105,1.57,2.60425,4.38675,-3.74025,-3.238,-2.09525,-1.393,-0.59475,-0.275,1.6145,2.88,5.0335,-4.1255,-3.6425,-3.1035,-1.8365,-1.613,-1.0705,0.756,2.0695,4.7795,-4.47775,-3.61625,-2.74925,-2.21025,-1.24125,-0.69925,0.755,2.2,4.7175,-3.1465,-6.013,-3.937,-52.34
